Agent_name,Level,ap_,explorer,seer,collector,trekker,builder,connector,mind-controller,illuminator,binder,country-master,recharger,liberator,pioneer,engineer,purifier,neutralizer,disruptor,salvator,guardian,smuggler,link-master,controller,field-master,specops,hacker,translator,sojourner,recruiter,Last_submission
@DrZaphod,9,"2,402,398",898,0,"8,510,313",248,"2,783",728,397,"16,468",6,"1,498","4,750,123",328,261,267,"1,830",255,493,325,-,-,-,-,-,1,"2,759",124,7,0,4/_11/_2015
@hatfullofcats,12,"10,128,286","2,930",0,"52,162,209",412,"11,630","1,422",882,"3,821,011",423,"966,878","20,597,654","1,756","1,197","2,464","15,112","2,401","4,309","2,635",-,-,-,-,-,67,"14,080","28,276",91,0,6/_4/_2015
@TheRouge,12,"9,106,036","2,012",6,"46,670,118",509,"9,132","1,470",798,"1,063,354",152,"58,671","15,784,238","1,190",744,188,"17,099","2,357","4,471","2,662",-,-,-,-,-,0,"17,473",60,61,0,5/_6/_2015
@TJS1,13,"12,110,305","3,076",0,"54,108,578",467,"16,174","2,064",877,"2,603,536",281,"976,592","17,848,435","2,988","1,706","2,405","18,881","2,793","4,722","2,808",-,-,-,-,-,73,"14,451","14,567",71,0,6/_8/_2015
@slopppy,15,"30,890,525","2,815",66,"154,897,681",839,"48,097","7,875","2,966","317,338",76,"18,283","74,615,279","6,245","1,332","1,657","48,424","6,609","12,184","7,132",-,-,-,-,-,5,"55,270","9,381",54,0,5/_30/_2015
@Av3nger5,13,"14,546,915","2,240",7,"61,200,958",630,"18,984","3,838","1,591","816,449",31,"19,677","33,445,443","3,010","1,149","1,099","17,303","2,389","4,290","2,523",154,77,125,45,"48,753",0,"15,544","1,231",77,0,5/_25/_2015
@SSSputnik,11,"7,029,833","1,764",0,"38,240,114",589,"9,887","2,340","1,210","544,961",133,"27,166","21,571,324","1,588",901,"1,754","8,047","1,322","2,026","1,117",-,-,-,-,-,1,"10,092",67,94,1,6/_7/_2015
@Worros,16,"41,648,317","6,822",7,"164,744,812","1,750","72,632","10,898","5,110","17,811,586","1,617","1,007,051","66,596,424","8,131","3,642","3,636","58,552","7,696","14,510","7,806",-,-,-,-,-,80,"56,050","24,930",33,0,6/_6/_2015
@Thedotty,11,"7,425,467","1,806",4,"40,034,120",543,"10,613","1,717","1,234","453,859",227,"16,111","20,446,898","1,137",575,367,"9,333","1,301","2,360","1,206",-,-,-,-,-,5,"12,387","1,757",11,0,6/_6/_2015
@Orphelinus,10,"4,926,580","2,930",0,"12,091,874",253,"9,172",931,436,"12,040",22,"1,669","3,440,013","1,320","1,018",573,"5,345",817,"1,223",661,77,75,318,75,"6,830",25,"5,987","1,855",66,1,6/_8/_2015
@heisenbergww,14,"17,936,840","2,124",9,"76,375,693","1,082","30,880","6,278","2,578","489,167",430,"47,185","19,410,701","3,077",817,"1,191","23,075","3,623","5,380","2,782",-,-,-,-,-,0,"33,079","1,834",0,0,2/_27/_2015
@nzcoops,16,"41,298,273","5,512",19,"160,380,413","1,002","59,575","11,402","3,414","7,143,993",470,"1,011,610","66,138,113","14,866","3,113","4,296","65,654","9,099","14,324","7,541",180,47,819,41,"1,627,892",65,"65,377","23,271",96,0,6/_9/_2015
@Suretu,15,"32,666,326","5,383",15,"128,352,647","1,200","53,446","4,936","3,170","10,251,473",827,"1,005,918","48,585,257","9,124","3,569","5,929","38,653","6,162","8,145","4,410",-,-,-,-,-,91,"39,655","18,881",95,0,6/_8/_2015
@ElBernardo,14,"21,238,756","4,317",137,"77,807,501","1,056","35,054","7,817","3,095","433,172",277,"21,396","25,071,077","4,535","2,268","1,741","26,842","4,174","5,848","2,971",-,-,-,-,-,13,"24,255","3,040",83,0,5/_27/_2015
@hideyoportals,13,"15,802,586","3,783",44,"82,009,076",687,"22,338","3,128","1,643","3,070,885","1,229","926,055","34,273,875","3,322","1,819","1,870","19,961","3,620","4,032","2,172",243,213,"4,382",107,"69,589",47,"32,530","3,070",68,0,6/_8/_2015
@Jerren,14,"18,470,205","2,843",2,"90,512,045",684,"27,136","2,888","1,936","490,025",321,"18,655","45,670,655","3,871","1,700","2,183","24,916","3,985","5,355","2,598",113,56,"1,419",34,"65,995",0,"26,402","12,844",95,0,6/_8/_2015
@Shepatron,12,"9,607,247","2,151",3,"42,800,962",492,"15,057","2,548","1,609","260,783",173,"18,493","23,223,726","2,066",872,833,"10,010","1,551","2,148","1,030",-,-,-,-,-,8,"14,312",185,95,0,6/_8/_2015
@SirLaserbeam,14,"20,331,768","3,253",8,"76,121,078","1,126","27,119","5,605","3,747","2,413,266","1,231","848,769","41,189,750","4,007","1,707","3,178","19,994","3,233","4,182","2,052",-,-,-,-,-,27,"22,768","6,527",94,0,6/_7/_2015
@tgxn ,15,"37,363,201","11,393",126,"147,193,166","1,661","58,972","4,590","1,598","41,281,889","5,874","1,009,853","52,275,292","11,957","5,292","2,739","69,885","12,181","13,575","7,144",251,75,"5,598",30,"991,813",135,"56,451","16,232",52,0,6/_5/_2015
@pongball,10,"5,795,308","2,339",0,"25,518,621",413,"11,180","1,309",622,"21,128",39,679,"9,028,990","1,343",821,"1,495","6,249","1,092","1,223",631,-,-,-,-,-,12,"9,972","2,658",66,1,6/_9/_2015
@hyperfocus,14,"22,445,881","4,214",10,"106,517,089",952,"26,992","2,041",905,"30,149,574","1,764","1,008,726","39,697,272","7,347","2,756","2,855","44,400","7,615","8,303","4,454",-,-,-,-,-,6,"29,480","5,975",96,0,6/_9/_2015
@Mietom4 ,16,"44,654,349","4,838",174,"115,910,732","2,042","60,322","9,967","4,765","6,638,048",386,"1,009,853","32,583,892","11,530","3,106","2,538","76,864","12,562","15,070","7,539",240,104,"4,775",91,"342,893",0,"48,203","7,437",24,0,6/_6/_2015
@rea,10,"5,841,658","2,204",15,"32,249,439",336,"12,966","1,193",406,"52,107",63,"30,169","13,545,377","1,648",849,320,"8,186","1,379","1,609",800,-,-,-,-,-,1,"9,039",147,12,0,4/_11/_2015
@bannana666,15,"39,936,209","3,259",155,"120,234,137","1,509","67,630","15,400","6,573","4,929,646",617,"997,287","42,710,565","7,365","1,890","3,724","61,002","8,594","12,834","5,762",133,86,634,55,"190,654",0,"45,241","19,721",79,0,5/_23/_2015
@Drechthawk,12,"10,172,712","2,005",2,"27,410,873",537,"15,473","2,819","1,377","1,293,063",157,"23,079","11,389,029","2,670","1,078","1,082","12,427","2,205","2,483","1,162",-,-,-,-,-,1,"11,755","1,329",21,0,5/_20/_2015
@fallimus,12,"8,562,846","2,677",0,"31,911,254",386,"12,362",491,169,"7,486,870","1,290","921,029","7,286,145","2,912","1,222",890,"18,816","3,791","3,228","1,724",-,-,-,-,-,1,"13,441","5,005",41,0,5/_21/_2015
@azyg,11,"7,486,079","1,611",0,"32,859,485",408,"12,713","1,722","1,005","1,913,134",153,"909,835","18,563,549","1,570",871,"1,537","7,625","1,248","1,412",685,-,-,-,-,-,3,"6,303","16,380",96,0,6/_9/_2015
@koolangirl,14,"20,199,378","2,267",15,"64,600,603","1,255","36,785","6,998","2,650","66,561",49,"6,143","20,295,936","5,156","1,305","3,727","22,943","4,187","4,085","2,034",-,-,-,-,-,0,"29,417","8,130",89,0,6/_3/_2015
@MissPeacock,9,"2,832,100","1,151",0,"11,098,951",176,"4,837",612,321,"36,818",7,"9,446","3,237,712",822,589,545,"3,189",635,534,280,-,-,-,-,-,3,"5,941",959,58,0,6/_2/_2015
